time,polarization,ratio,assassination,executions,insurrection,lynching,mass suicide,rampage,riot,terrorism,war,total_deaths,Height(cm),EVI,HSUS
1926,0.7110165658198291,0.6760021564927589,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,175.63317828013487,1061.7040231245055,44.68842714853938
1927,0.6899470477113914,0.6856451834244126,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,8.0,175.72491863383263,1067.445460685635,45.90001925616197
1928,0.6675400434984868,0.6806073917056716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,175.75475289519775,1072.7455553663808,47.1278899525626
1929,0.6359798223659386,0.6938218065119548,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,15.0,175.77787444775572,1076.293563824452,48.2266946950802
1930,0.6054725650261936,0.7378819749062663,0.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,18.0,175.8009960003137,1075.9551532891123,46.37209833072509
1931,0.5736446653533261,0.7794925434906322,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,11.0,175.91734961963766,1080.532686994398,43.03604913989143
1932,0.5392319023406087,0.8305077978859838,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,176.13215630146655,1087.6065255703556,40.62173715033255
1933,0.5053421234616349,0.8949835824735954,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.431990628186,1095.415411331662,37.25608861502347
1934,0.478792371069437,0.9156445202416255,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,21.0,176.67454317308446,1099.0383982786263,37.11807465889084
1935,0.45953837491686356,0.8643017410207402,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,176.86011227877552,1101.1593811222467,37.35608566037428
1936,0.4484120029000248,0.8624054220000383,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,176.83475315661516,1103.280363965867,37.972927899427816
1937,0.4440996531584403,0.9095815509593944,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,6.0,176.8093940344548,1109.36873229582,38.583956356774905
1938,0.4387127907283673,0.9332800540756899,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,176.74972551172456,1112.4255042198072,39.22347234448357
1939,0.42948920924800227,0.8966581795606964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.72585810263246,1117.3338681183732,39.75136372342853
1940,0.4297235473920014,0.847495895312079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.70199069354038,1106.320359904709,38.53512059044079
1941,0.4322539862143238,0.7957196273515167,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,176.7721012077484,1066.8581800733402,37.32410986098885
1942,0.4274638253579719,0.7349333192426138,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,8.0,176.8175984563302,961.9978105191022,36.10495983714789
1943,0.4232207212755886,0.6954205875625916,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,176.863095704912,882.161593346327,34.87534500623533
1944,0.4301369862852994,0.6846532866093238,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,176.95707362821216,802.2376064970698,34.2678048179121
1945,0.44008041544941967,0.7229039601048842,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,177.00033330719157,733.0042391046327,32.42832428599374
1946,0.4386123943408065,0.7687469946605022,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,177.043592986171,700.6614461271838,31.83531855193662
1947,0.4166052973258651,0.7881498884995224,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,177.07465791081745,640.5465465216841,31.212081153006
1948,0.42315081383873615,0.7937992256230549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.1057228354639,585.2671704015183,29.984210456605375
1949,0.43587516466615406,0.8082488502789555,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,177.1677035134499,534.4642123737816,29.799913576511152
1950,0.4411954725386304,0.7903686050595895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.310338404831,490.10901690080584,30.38187312532603
1951,0.4321824912761695,0.7838429681182153,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,177.35508979687867,466.27896987443887,31.605092796361504
1952,0.4302834571885597,0.7984529369961039,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,177.39984118892636,426.27346704979846,32.81901041666667
1953,0.4324624461744485,0.8213653805311182,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,177.48853031134811,388.9969765518255,34.110666603789404
1954,0.4346414351603373,0.8270997839933509,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,177.52860314877262,357.8677072669042,33.81540954712651
1955,0.44856519486301444,0.8328341874555838,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,177.56867598619715,324.6248042120675,33.520152490463616
1956,0.4557284253463577,0.8490993375319595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.6672104148694,310.4719996271026,33.2044641438038
1957,0.4528798742149432,0.8582352292498838,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,177.7112344129872,283.5220923650525,32.88877579714398
1958,0.45596982117686813,0.8691982993113928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.755258411105,262.71924934152395,32.923658487382625
1959,0.4688591267781277,0.8712647510094949,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,177.83369539643948,233.9226885673213,32.277456650711564
1960,0.4688942583732057,0.8860344426201389,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,177.89168440570486,222.6714236389099,31.974994657433896
1961,0.4632225408299915,0.8771521185090796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,177.77005725041172,203.45480707077857,31.672532664156233
1962,0.463696687303199,0.8660659935795332,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,177.64922849188298,185.47324439378565,31.916944047095072
1963,0.4725455343195999,0.8547113853015416,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,177.532874872559,178.1837834335029,32.299258332110725
1964,0.4775440212504246,0.8353302435856595,1.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,10.0,177.41204611403026,171.63899239027808,33.75665713028169
1965,0.4791032535533224,0.813012565246159,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,6.0,177.30613448618408,165.15271971339746,34.34089235936452
1966,0.4781971154607574,0.7974908716641753,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,9.0,177.31433890805948,158.9115646094701,35.58171948356808
1967,0.4725104562787825,0.7900586373048744,1.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,18.0,177.3225433299349,153.0746530528747,36.156121116164584
1968,0.47426581193530154,0.779536047736908,4.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,24.0,177.3538693043683,150.22283164770963,36.77470748973005
